loc_id,time_stamp,num_of_people
1,2017-12-01 00,543.5396347255466
2,2017-12-01 00,608.8278070565892
3,2017-12-01 00,127.89601872903124
4,2017-12-01 00,245.8755311124646
5,2017-12-01 00,295.4435392629722
6,2017-12-01 00,382.2028432554397
7,2017-12-01 00,181.1353805082018
8,2017-12-01 00,115.40772209616264
9,2017-12-01 00,366.2259056279406
10,2017-12-01 00,53.13782644237263
11,2017-12-01 00,411.71579210269397
12,2017-12-01 00,107.80263881620361
13,2017-12-01 00,61.222340279729764
14,2017-12-01 00,51.61903990954838
15,2017-12-01 00,19.35005046775187
16,2017-12-01 00,27.001819344924726
17,2017-12-01 00,405.3968845196174
18,2017-12-01 00,577.3245690573358
19,2017-12-01 00,319.2361652870941
20,2017-12-01 00,58.713092588374316
21,2017-12-01 00,462.55978710767124
22,2017-12-01 00,53.502732335690396
23,2017-12-01 00,370.4545053881567
24,2017-12-01 00,21.431245834108534
25,2017-12-01 00,429.00598179776074
26,2017-12-01 00,50.27925713020386
27,2017-12-01 00,63.27288125658236
28,2017-12-01 00,315.6058967682951
29,2017-12-01 00,66.06124175852837
30,2017-12-01 00,581.8830105129724
31,2017-12-01 00,217.83229743674116
32,2017-12-01 00,37.63836809860651
33,2017-12-01 00,38.31029198469409
1,2017-12-01 01,407.89086179159904
2,2017-12-01 01,758.0653144909279
3,2017-12-01 01,62.899318605042964
4,2017-12-01 01,158.7181551405621
5,2017-12-01 01,216.68173256136475
6,2017-12-01 01,247.1571268262279
7,2017-12-01 01,124.45960221771432
8,2017-12-01 01,53.725840052722575
9,2017-12-01 01,270.1321582441781
10,2017-12-01 01,15.359312227186255
11,2017-12-01 01,248.67947279662718
12,2017-12-01 01,49.02602987574228
13,2017-12-01 01,23.662700197210313
14,2017-12-01 01,35.02352897300686
15,2017-12-01 01,8.77822079205638
16,2017-12-01 01,18.212063650495324
17,2017-12-01 01,193.539239462058
18,2017-12-01 01,423.3189926188444
19,2017-12-01 01,231.53419940473424
20,2017-12-01 01,27.627320262675497
21,2017-12-01 01,361.32456963859545
22,2017-12-01 01,36.80252233864628
23,2017-12-01 01,311.7482115279514
24,2017-12-01 01,5.816345360516989
25,2017-12-01 01,319.52012007863533
26,2017-12-01 01,27.447316173338077
27,2017-12-01 01,57.061159059143975
28,2017-12-01 01,151.87274270471136
29,2017-12-01 01,16.134549125697227
30,2017-12-01 01,520.1479821904951
31,2017-12-01 01,142.67507765267877
32,2017-12-01 01,19.32742501112052
33,2017-12-01 01,29.07109842012632
1,2017-12-01 02,356.99996795505535
2,2017-12-01 02,766.6141255361069
3,2017-12-01 02,50.58163515704655
4,2017-12-01 02,125.62587313214306
5,2017-12-01 02,199.2856803165185
6,2017-12-01 02,199.93447720697358
7,2017-12-01 02,81.74078935175447
8,2017-12-01 02,39.61746054607424
9,2017-12-01 02,207.24485534255743
10,2017-12-01 02,2.8170483341892183
11,2017-12-01 02,190.27833689349268
12,2017-12-01 02,32.49257423332517
13,2017-12-01 02,12.989081146108324
14,2017-12-01 02,28.943004504815693
15,2017-12-01 02,3.6293417244517014
16,2017-12-01 02,14.708329081915897
17,2017-12-01 02,115.20027043844831
18,2017-12-01 02,312.32019674209243
19,2017-12-01 02,200.6848091653548
20,2017-12-01 02,15.565807666934418
21,2017-12-01 02,287.31555651944115
22,2017-12-01 02,23.04906540057999
23,2017-12-01 02,302.77184790259594
24,2017-12-01 02,1.6358964958986466
25,2017-12-01 02,272.85397241206806
26,2017-12-01 02,11.157325733506866
27,2017-12-01 02,49.35226052434994
28,2017-12-01 02,91.15636004374437
29,2017-12-01 02,4.110445507730539
30,2017-12-01 02,505.9185464602288
31,2017-12-01 02,91.53420349714698
32,2017-12-01 02,11.113039422225249
33,2017-12-01 02,24.67596551294489
1,2017-12-01 03,362.6273740473283
2,2017-12-01 03,823.2922724466143
3,2017-12-01 03,51.9992491395247
4,2017-12-01 03,126.88383370376916
5,2017-12-01 03,202.2492812775455
6,2017-12-01 03,202.1019654137554
7,2017-12-01 03,83.5125212240171
8,2017-12-01 03,42.150306046294105
9,2017-12-01 03,167.32728735962297
10,2017-12-01 03,4.119808641306948
11,2017-12-01 03,185.46666790376509
12,2017-12-01 03,34.27733681268511
13,2017-12-01 03,14.914627376267628
14,2017-12-01 03,31.905729758279683
15,2017-12-01 03,7.417604389451702
16,2017-12-01 03,19.105545770913174
17,2017-12-01 03,116.15777583090386
18,2017-12-01 03,311.5185106544002
19,2017-12-01 03,200.49345059525865
20,2017-12-01 03,17.531797776360335
21,2017-12-01 03,282.8567666320286
22,2017-12-01 03,26.744030270426585
23,2017-12-01 03,316.1838151436247
24,2017-12-01 03,6.476580579272941
25,2017-12-01 03,268.1362911480493
26,2017-12-01 03,16.708530949630685
27,2017-12-01 03,56.86225397728684
28,2017-12-01 03,94.72442808938845
29,2017-12-01 03,7.717280502128971
30,2017-12-01 03,521.4044054842949
31,2017-12-01 03,76.38726765852755
32,2017-12-01 03,16.7236875725699
33,2017-12-01 03,30.169109522420882
1,2017-12-01 04,338.372240305889
2,2017-12-01 04,892.7407382926256
3,2017-12-01 04,53.42049713116019
4,2017-12-01 04,127.0335026230354
5,2017-12-01 04,200.9599874344221
6,2017-12-01 04,204.5525145717396
7,2017-12-01 04,76.37920216339457
8,2017-12-01 04,48.42376095844404
9,2017-12-01 04,133.2596261092513
10,2017-12-01 04,15.253126543081455
11,2017-12-01 04,188.92382452702387
12,2017-12-01 04,41.52978363702721
13,2017-12-01 04,17.860432920131444
14,2017-12-01 04,34.0725725452411
15,2017-12-01 04,8.476210304699496
16,2017-12-01 04,20.60073313015377
17,2017-12-01 04,118.04704901769367
18,2017-12-01 04,310.6194942834254
19,2017-12-01 04,210.616656152671
20,2017-12-01 04,20.985516602806314
21,2017-12-01 04,290.58447337276465
22,2017-12-01 04,32.6717301040891
23,2017-12-01 04,325.23055797606924
24,2017-12-01 04,9.390451270335587
25,2017-12-01 04,281.13086203043696
26,2017-12-01 04,28.699448927920663
27,2017-12-01 04,74.09495079880419
28,2017-12-01 04,98.32385425904326
29,2017-12-01 04,20.462402105673434
30,2017-12-01 04,520.6116828553638
31,2017-12-01 04,75.49741250958692
32,2017-12-01 04,23.700513933853838
33,2017-12-01 04,36.332574030175394
1,2017-12-01 05,348.48499901119715
2,2017-12-01 05,918.5152962529755
3,2017-12-01 05,60.7394246080091
4,2017-12-01 05,132.84388282139844
5,2017-12-01 05,204.8993674304004
6,2017-12-01 05,221.32213078208713
7,2017-12-01 05,79.44162081819779
8,2017-12-01 05,110.19787469682738
9,2017-12-01 05,127.00226958486058
10,2017-12-01 05,32.427114875173004
11,2017-12-01 05,200.00146224254166
12,2017-12-01 05,98.94180707796575
13,2017-12-01 05,23.580995327619284
14,2017-12-01 05,37.471516253250144
